TOKEN TYPE           LEXEME                    LINE
RPAREN               )                         48
LBRACE               {                         48
PERSIST              Persist                   49
SEMICOLON            ;                         49
RBRACE               }                         50
IDENTIFIER           numbers                   51
LBRACKET             [                         51
IDENTIFIER           i                         51
RBRACKET             ]                         51
ASSIGN               =                         51
IDENTIFIER           i                         51
MULTIPLY             *                         51
IDENTIFIER           i                         51
SEMICOLON            ;                         51
RBRACE               }                         52
MATTER               Matter                    55
IDENTIFIER           fact5                     55
ASSIGN               =                         55
IDENTIFIER           factorial                 55
LPAREN               (                         55
INTEGER_LITERAL      5                         55
RPAREN               )                         55
SEMICOLON            ;                         55
ERA                  Era                       58
LPAREN               (                         58
IDENTIFIER           isActive                  58
LOGICAL_AND          &&                        58
IDENTIFIER           temperature               58
GREATER              >                         58
FLOAT_LITERAL        0.0                       58
RPAREN               )                         58
LBRACE               {                         58
BROADCAST            Broadcast                 59
LPAREN               (                         59
STRING_LITERAL       "System operational"      59
RPAREN               )                         59
SEMICOLON            ;                         59
RBRACE               }                         60
RESOLVE              Resolve                   62
INTEGER_LITERAL      0                         62
SEMICOLON            ;                         62
RBRACE               }                         63
--------------------------------------------------------------------------------
Total Tokens: 241
Total Lines: 64
